App,Fl,%Fl,Dom,%Dom,vol,%vol,TC,%TC,%DNS,%TCP,%TLS,%DATA
Twitter,1,12.5,1,25,29,96,18.7,44,0,0,0,100
Facebook,2,40,2,66.66666667,1313,63,4.6,54,5,10,0.1,84
Instagram,4,57.14285714,1,50,1538,90,1.8,50,0,0,0,100
Whatsapp,1,100,1,100,1,100,0.95,100,0,0,0,100
Snapchat,2,22.22222222,1,33.33333333,194,75,5.7,17,2,4,3,91
Messenger,3,60,2,40,20,79,9.9,35,0,1,1,98
CNN,3,25,2,40,69,82,1.48,55,0,3,0,97
BBC,4,36.36363636,2,66.66666667,105,92,0.53,67,0,22,0,78
NewsBreak,19,43.18181818,7,77.77777778,96,20,3,73,0,7,6,87
Gmaps,3,60,2,100,870,98,1.8,52,0,0,0,100
Uber,3,42.85714286,1,50,13,11,5.43,85,0,0,0,100
Letgo,5,100,2,100,65,100,2.43,100,0,1,5,94
Amazon,21,34.42622951,4,36.36363636,1650,92,12.2,80,0,3,3,94
Gmail,6,54.54545455,2,40,38,75,10.6,21,0,3,4,97
Outlook,5,83.33333333,3,75,9,100,0.44,35,0,21,54,25
Youtube,5,45.45454545,1,20,65,47,0.5,31,0,23,42,35
SoundCloud,1,16.66666667,1,33.33333333,120,99,0.54,44,0,0,0,100
Spotify,3,30,1,50,115,98,0.25,52,0,0,0,100
