App,Fl,%Fl,Dom,%Dom,vol,%vol,TC,%TC,%DNS,%TCP,%TLS,%DATA
Twitter,5,38.46153846,1,12.5,33,79.1,4,77.7,0,14,18,68
Facebook,2,40,2,40,836,96.7,9.4,61.3,1,0.2,6.1,92.7
Instagram,9,56.25,2,25,1108,97,3.7,80.2,0,0.2,11.4,88.4
Whatsapp,2,100,1,100,4,100,0.9,100,9,6,0,85
Snapchat,8,80,4,50,2802,90.5,10.8,70.9,3,4,19,74
Messenger,4,57.14285714,3,50,86,72.4,2.4,63.2,0,12.5,19.3,68.2
CNN,10,58.82352941,2,12.5,25,31.3,2.69,38.1,15,15.8,3.8,65.4
BBC,6,75,2,50,98,96.1,0.52,21.1,0,29,0,71
NewsBreak,27,65.85365854,5,25,152,92.1,4.5,63.4,0,8,12,80
Gmaps,17,65.38461538,6,46.15384615,870,98.9,4.2,57.5,0,12,25,63
Uber,13,59.09090909,6,42.85714286,238,95,13,53,0,4,21,75
Letgo,10,55.55555556,3,30,715,97.1,0.65,18.1,6,6,25,63
Amazon,33,67.34693878,5,45.45454545,1490,95.5,6.98,84.9,0.4,7.8,22.8,69
Gmail,1,14.28571429,1,20,16,90.9,1.7,82.4,0,17.6,28.9,53.5
Outlook,4,57.14285714,2,50,20,90.9,2.15,79.6,3,10,22,65
Youtube,10,62.5,4,36.36363636,127,84.1,3.03,46,5.8,9,16,69.2
SoundCloud,10,43.47826087,2,20,715,98.5,8.15,76.9,0,6,16,78
Spotify,1,12.5,2,25,78,95.1,4.6,59,1,9,6,84
