App #Domains #Flows #Critical_domains #Critical_flows
com.abtnprojects.ambatana 2 5 2 5
bbc.mobile.news.uk 3 11 2 4
com.amazon.mShop.android.shopping 11 61 4 21
com.cnn.mobile.android.phone 5 12 2 3
com.google.android.apps.maps 2 5 2 3
com.google.android.youtube 5 11 1 5
com.microsoft.office.outlook 4 6 3 5
com.particlenews.newsbreak 9 44 7 19
com.soundcloud.android 3 6 1 1
com.spotify.music 2 10 1 3
com.ubercab 2 7 1 3
com.facebook.katana 5 5 2 3
com.facebook.orca 3 5 2 2
com.twitter.android 4 8 1 1
com.snapchat.android 3 9 1 2
com.instagram.android 2 7 1 4
com.google.android.gm 5 11 2 6
com.whatsapp 1 1 1 1
