App #Domains #Flows #Critical_domains #Critical_flows
bbc.mobile.news.uk 4 8 2 6
com.abtnprojects.ambatana 10 18 3 10
com.amazon.mShop.android.shopping 11 49 5 33
com.cnn.mobile.android.phone 16 17 2 10
com.google.android.apps.maps 13 26 6 17
com.google.android.youtube 11 16 4 10
com.microsoft.office.outlook 4 7 2 4
com.particlenews.newsbreak 20 41 5 27
com.soundcloud.android 10 23 2 10
com.spotify.music 8 8 2 1
com.ubercab 14 22 6 13
com.facebook.katana 6 7 3 4
com.facebook.orca 5 5 2 2
com.twitter.android 8 13 1 5
com.snapchat.android 8 10 4 8
com.instagram.android 8 16 2 9
com.google.android.gm 5 7 1 1
com.whatsapp 1 2 1 2
